,Phones & Accessories,Price
94,Samsung B310E Dual SIM (SM-B310E) - Blue/Black,GH₵ 195.00
95,Tecno T301 Dual SIM - 4MB HDD - 4MB RAM - Gold + Free Extra Battery,GH₵ 130.00
96,Nokia 105 Dual SIM 4th Generation  - 32MB ROM‎ - 4MB RAM Cell Phone - Black + Free 3310 Phone,GH₵ 230.00
97,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 142.00
98,Itel 2173 Dual Cell Phone - 32MB ROM - 32MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 115.00
99,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 104.00
100,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 120.00
101,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 121.00
102,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 139.00
103,Itel It 5606 Dual SIM - 4MB ROM - 4MB RAM - 2500mAh - Dark Blue,GH₵ 98.00
104,Itel It 2173  Dual SIM Phone - Black + Free P47 Bluetooth Headset,GH₵ 119.00
105,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00
106,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00
107,Wireless  Bluetooth 5.0 Earphones - 2200mAh Black,GH₵ 48.00
108,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 29.00
109,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 35.00
110,P47 Wireless Headset -   White,GH₵ 35.00
111,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48
112,Oraimo OCD-M53 Data cable 1 meter   5V2A Micro-USB,GH₵ 7.80
113,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 34.00
114,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 55.00
115,Wireless Bluetooth Earphones - White,GH₵ 37.50
116,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 37.00
117,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00
118,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 176.00
119,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 47.04
120,Mini touch HIFI Bluetooth sports headset-white,GH₵ 33.60
121,20000 mAH  Power Bank with inbuilt Cables - Black,GH₵ 66.96
122,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 36.00
123,TWS Wireless Bluetooth Earphones - White,GH₵ 40.00
124,F9 Bluetooth Earphone - Black,GH₵ 59.00
125,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 48.00
126,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
127,Samsung Galaxy SM-A127F/DS - 64GB HDD - 4GB RAM Smartphone - Blue,GH₵ 989.77
128,116 Plus Waterproof Smart Watch - Black,GH₵ 39.00
129,Oraimo Conch in-Ear Wired Earphones with Mic,GH₵ 14.00
130,Samsung Galaxy A125F/DS  -  128GB HDD  -  4GB RAM Smartphone  -  Black,"GH₵ 1,064.77"
